Scenario,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,127.976 ± 4.830,128.525 ± 5.321,128.603 ± 5.242,128.240 ± 5.614
scen_2,128.003 ± 4.796,128.595 ± 5.409,128.637 ± 5.480,128.313 ± 5.897
scen_3,128.004 ± 4.748,128.804 ± 6.553,128.816 ± 6.579,128.536 ± 6.994
scen_4,128.024 ± 4.756,129.035 ± 7.650,129.097 ± 7.724,128.685 ± 7.881
scen_5,116.328 ± 8.751,116.698 ± 8.853,116.749 ± 8.842,116.385 ± 8.849
scen_6,116.382 ± 8.769,116.677 ± 8.861,116.752 ± 8.848,116.416 ± 8.878
scen_7,116.445 ± 8.797,116.705 ± 8.996,116.468 ± 8.979,116.454 ± 8.989
scen_8,116.401 ± 8.784,116.801 ± 9.142,116.820 ± 9.083,116.530 ± 9.122
scen_9,112.271 ± 5.631,112.536 ± 5.657,112.555 ± 5.591,112.256 ± 5.666
scen_10,112.266 ± 5.627,112.504 ± 5.652,112.587 ± 5.656,112.217 ± 5.668
scen_11,112.238 ± 5.627,112.494 ± 5.709,112.604 ± 5.711,112.227 ± 5.701
scen_12,112.552 ± 5.577,112.478 ± 5.726,112.558 ± 5.721,112.227 ± 5.735
