,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,0.213 ± 0.006,0.605 ± 0.017,0.358 ± 0.018,2.536 ± 0.018
scen_2,0.214 ± 0.005,0.606 ± 0.009,0.366 ± 0.012,2.591 ± 0.022
scen_3,0.205 ± 0.006,0.809 ± 0.013,0.478 ± 0.015,3.025 ± 0.030
scen_4,0.213 ± 0.005,1.015 ± 0.010,0.558 ± 0.012,3.388 ± 0.031
scen_5,0.215 ± 0.005,0.604 ± 0.010,0.358 ± 0.012,2.537 ± 0.015
scen_6,0.215 ± 0.005,0.607 ± 0.011,0.368 ± 0.012,2.585 ± 0.016
scen_7,0.215 ± 0.004,0.810 ± 0.012,0.480 ± 0.016,3.019 ± 0.019
scen_8,0.216 ± 0.007,1.019 ± 0.012,0.565 ± 0.014,3.378 ± 0.019
scen_9,0.215 ± 0.006,0.612 ± 0.012,0.366 ± 0.011,2.546 ± 0.018
scen_10,0.215 ± 0.003,0.613 ± 0.010,0.376 ± 0.010,2.613 ± 0.031
scen_11,0.217 ± 0.005,0.815 ± 0.012,0.489 ± 0.011,3.037 ± 0.021
scen_12,0.206 ± 0.005,1.019 ± 0.010,0.568 ± 0.010,3.400 ± 0.029
